coin,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
@1,0.0,0.0,8.6644985,-47.982752,0.0
@10,0.0,0.0,0.0,-0.031742,0.0
@103,0.0,0.0,0.0,4.9854615,0.0
@107,14.373521537313433,495.65087032317325,45.982377657967035,85.77625654788069,28.32857077571826
@11,0.0,0.0,0.0,0.0,0.0
@113,0.0,0.0,0.0,15.495707,0.0
@13,0.0,0.0,0.0,-0.061895,0.0
@14,0.0,0.0,0.0,0.0,0.0
@142,0.0,0.0,6.981712166666667,6.9411371543624165,0.0
@16,0.0,0.0,0.0,-0.0302145,0.0
@20,0.0,0.0,0.0,0.23690439999999996,0.0
@23,0.0,0.0,0.0,0.0,0.0
@26,0.0,0.0,0.0,-0.032252249999999996,0.0
@29,0.0,0.0,0.0,-0.0195935,0.0
@3,0.0,0.0,0.0,0.035578,0.0
@33,0.0,0.0,0.0,4.522309666666667,0.0
@35,0.0,0.0,0.0,33.5140635,0.0
@37,0.0,0.0,10.17704,0.0,0.0
@38,0.0,0.0,0.0,33.271993,0.0
@39,0.0,0.0,0.0,12.238556,0.0
@4,23.178014714285716,-12.607399835443038,3.8766519574468083,1.1528842789473683,8.129954914893617
@40,0.0,0.0,0.0,16.748319,0.0
@41,0.0,0.0,0.0,18.36922,0.0
@42,0.0,0.0,0.0,0.0,0.0
@44,0.0,0.0,0.0,0.0,0.0
@45,0.0,0.0,0.0,0.0,0.0
@46,0.0,0.0,0.0,0.0,0.0
@47,0.0,0.0,0.0,16.771152666666666,0.0
@48,0.0,0.0,0.0,0.0,0.0
@49,-10.178054249999999,0.0,0.0,0.0,0.0
@51,0.0,0.0,0.0,-37.27303,0.0
@59,0.0,0.0,0.0,0.0,0.0
@63,0.0,0.0,0.0,-20.663546,0.0
@74,0.0,299.941989,0.0,12.703987,0.0
@78,0.0,0.0,0.0,0.0,0.0
@8,0.0,0.0,5.5872414500000005,1.5165661764705882,0.0
@85,0.0,0.0,0.0,678.66879056,0.0
AAVE,18.182371999999997,85.3615937254902,9.362390486486486,2.365056642857143,0.7811135714285715
ACE,0.0,0.0,0.0,39.622400000000006,0.0
ADA,0.0,83.74596844444444,38.6411216701031,0.212203,8.95989075
AI,4.986738666666667,0.0,0.0,1.6497771428571428,0.0
AI16Z,17.22449568965517,0.0,14.227716608695653,48.52401923913043,4.838948470588235
AIXBT,14.264576,0.0,11.057061875,27.785579021276593,1.0917712222222222
ALGO,0.0,0.0,0.0,0.0,0.0
ALT,0.0,0.0,0.0,17.745261538461538,0.0
ANIME,0.0,0.0,0.0,35.45163,0.0
APE,0.0,46.058381777777775,3.112671111111111,10.105322397058824,151.9484656
APT,0.0,0.0,134.82,0.0,0.0
AR,0.0,21.628553333333333,0.0,0.0,0.0
ARB,0.0,0.0,6.306102017241379,-0.00017775,8.467388352941176
ARK,0.0,0.0,0.0,6.53457,0.0
ATOM,0.0,0.0,0.388981625,0.064232,8.432756000000001
AVAX,0.0,0.20867033333333332,2.1558322857142858,0.0,4.994015
BADGER,2.2546093,0.0,0.0,0.0,0.0
BANANA,0.0,-11.961329333333333,0.0,0.0,0.0
BIGTIME,0.0,0.0,0.0,54.05952379310345,0.0
BIO,0.0,0.0,4.513222,0.0,0.0
BLAST,0.0,33.99725425,7.198419095238095,0.0,35.5535038
BLUR,0.0,0.0,21.073916,-0.004164999999999999,0.0
BNB,0.0,2.4046083333333335,-1.7873999999999999,0.18385966666666664,0.0
BOME,0.0,0.0,0.0,0.0,0.0
BRETT,0.0,-20.326258813953487,6.923826,4.100245,0.0
BTC,39.15642580689655,41.561424090909085,54.15769057692307,17.311808204315575,26.565798251101324
CAKE,0.0,0.0,0.0,39.9701685,0.0
CANTO,0.0,0.0,0.0,0.0,-23.557016250000004
CHILLGUY,0.0,2.1008012000000003,41.275930249999995,1.7672576363636365,0.0
COMP,0.0,0.0,0.0,22.308836237288133,0.0
CRV,0.49236022222222203,-92.27877123076922,4.542741125,15.92655380952381,0.0
CYBER,0.0,0.0,0.0,191.5296,0.0
DOGE,0.0,28.341659125000003,27.00480027777778,54.47180214917127,8.947733333333334
DOT,0.0,0.47231100000000004,2.408776181818182,3.690142,11.055354000000001
DYDX,0.0,0.0,8.084819176470589,0.0,0.0
DYM,0.0,0.0,0.0,65.913975,24.124212
EIGEN,0.0,10.962353423076923,8.487547935483871,2.1962335454545463,6.981011499999999
ENA,0.0,0.10147230434782609,1616.4781267171716,0.5562965294117648,0.26762754385964915
ENS,0.0,0.0,-1.7803399999999998,0.0,0.0
ETC,0.0,0.0,0.0,83.3618,0.0
ETH,0.02002821686746988,-170.17848374388254,137.00238786118598,-111.42257313337942,36.52811086885246
ETHFI,0.0,83.0773325882353,22.851355666666667,215.1162510967742,0.0
FARTCOIN,-180.86636841935487,0.0,7.509328741935484,13.614888287822875,4.79187305882353
FET,0.0,8.52665,0.0,20.94322857142857,0.0
FIL,0.0,0.0,0.0,0.0,-7.055718000000001
FTM,0.0,0.0,0.0,152.17302473913043,113.38923750000001
FTT,0.8178201666666668,1.699782796460177,4.869065567796611,3.645416048780488,4.0331503
FXS,0.0,-4.6026682857142855,0.0,3.638358972972973,-23.556062153846156
GALA,0.0,0.0,0.0,0.0,0.0
GMT,0.0,0.0,0.0,60.54297,0.0
GMX,0.0,1.0851810175438596,0.0,0.47660955555555556,0.0
GOAT,102.50732,113.45349755882353,0.0,0.0,0.0
GRASS,2.2363831000000003,66.243695,-16.066680717948717,0.0,20.055639045454544
GRIFFAIN,0.0,0.0,14.29189306862745,100.24504,0.0
HBAR,0.0,12.259251153846153,6.740319866666667,45.76746628571429,8.989764882352942
HPOS,0.0,0.0,0.0,0.9137781111111128,24.468752764705883
HYPE,1.0374943465648856,3.117699398148148,59.81388927154862,168.30583325104854,6.04195308
ILV,0.0,0.0,-15.503822222222222,0.0,0.0
IMX,0.0,0.436037,1.07950175,43.010226,9.138071000000002
INJ,0.0,1.6588588421052632,1.485550181818182,19.7715475625,9.9871605
IO,0.19453333333333334,-0.561392603448276,0.0,-102.23778857943925,0.0
IP,0.0,0.0,-14.695970102564102,0.0,0.0
JELLY,0.0,0.0,0.0,93.2981702972973,0.0
JTO,0.0,0.0,5.619,0.0,0.0
JUP,1.7732933333333332,24.34301142857143,12.831471496296297,0.8142602105263158,0.0
KAITO,0.0,0.0,0.0,0.0,0.0
LDO,0.0,0.8279569285714284,1.9189546,0.778341230769231,7.255204
LINK,0.0,5.57405388888889,9.856434568627451,-0.7702414117647056,2.7997005294117647
LTC,0.0,0.0,0.0,1.0240274285714286,11.59064075
MANTA,0.0,0.0,81.4507824,0.17234285714285713,9.736050800000001
MATIC,0.0,4.8144522,0.0,19.0622432,-22.504072416666663
MAV,0.0,0.00945,0.0,0.0,0.0
ME,0.0,276.702671,109.29139152380952,129.324803,0.0
MELANIA,0.0,0.0,92.47889110236221,99.3216904691358,0.0
MEME,0.0,62.15541551219513,36.026332000000004,0.0,0.0
MERL,0.0,0.0,-1.58682,0.0,0.0
MEW,0.0,0.0,0.0,0.0,0.0
MOODENG,0.0,2.1463252,0.0,531.6550300666667,0.0
MOVE,0.0,0.0,0.0,0.0,0.0
MYRO,0.0,0.0,0.0,3.9381946153846155,0.0
NEAR,0.0,6.28884,89.51634793103449,155.419485,0.0
NEIROETH,0.0,0.0,0.0,0.0,0.0
NTRN,0.0,0.0,23.63072375,0.0,-11.486743692307694
ONDO,0.0,0.0,8.578899682692308,51.39194451724138,2.3714
OP,0.0,0.0,0.49946,37.45262125,0.0
ORDI,0.0,0.9154823999999999,0.0,1.7094210476190475,0.0
PENDLE,2.8354831666666667,63.3942,14.897283755102041,15.36253925203252,0.0
PENGU,2.7140675454545455,0.0,2.3176501315789473,13.698994173913043,0.05983497872340425
PEOPLE,0.0,0.0,0.0,360.646005,0.0
PNUT,0.0,449.7202894736842,0.0,0.0,0.0
POLYX,0.0,0.0,0.0,44.15240592857143,0.0
POPCAT,0.0,0.0,0.0,-3.3748,0.0
PURR,-0.6542308484848485,92.57399725,29.219232640350878,13.881734246913581,10.17437800819672
PURR/USDC,0.0,36.90202229565217,37.17418789473684,12.893795774038463,21.367161636363637
RENDER,0.0,0.0,1.7698066666666665,24.26428574698795,0.0
RNDR,0.0,1.1054079411764706,23.8459,49.184,0.0
RSR,6.158762153846154,0.0,0.0,0.0,0.0
RUNE,0.0,16.494624454545455,13.916395099999999,-4.529566575342467,-3.2806303
S,0.0,0.0,-74.50552482758621,0.0,0.0
SAND,0.0,5.678755666666667,-1.8775549999999999,2.2102825,0.0
SEI,0.0,0.0,0.0,0.0008625,0.0
SOL,1.6599264257425743,39.156017548387105,760.9600215939226,328.15728086172345,25.32575
SPX,0.0,0.0,146.943567,0.0,0.0
STRK,0.0,1.0111153750000001,1.9329928571428572,0.9426351111111111,12.23445825
STX,0.0,0.0,0.0,5.048741466666667,0.0
SUI,0.46591875,20.0807775,8.619289572519083,6.568039235849057,1.0311284615384615
SUPER,0.0,0.0,0.0,0.0,0.0
SUSHI,0.0,0.42647273170731725,12.422855923076924,0.0,19.1392078125
TAO,0.0,9.504275,60.744572407894736,0.068324,85.55166772727273
TIA,0.0,37.3544,-14.400045913043481,46.348866480000005,11.077836000000001
TNSR,0.0,3.3457289304812834,2.8750875189873417,14.68214812096774,0.0
TRUMP,0.0,0.0,1.82115,0.0,0.0
TRX,0.0,1.9925196338028166,0.0,58.74362333333334,0.0
TURBO,0.0,258.32658,0.14074350000000002,3.2250725555555553,10.90697425
UNI,0.0,1.6169166000000001,0.0,6.780842,0.0
USTC,0.0,0.0,0.0,0.0,0.0
USUAL,0.0,0.0,711.2737468095238,759.7911534285714,0.0
VINE,0.0,0.0,-0.32676517307692293,21.469322337662337,0.0
VIRTUAL,22.392653,0.0,0.0,0.41209999999999997,-0.5523530769230769
VVV,0.0,0.0,37.09277323809523,0.0,0.0
W,0.0,3.1505485,0.8213724867924528,3.4589361666666663,0.0
WIF,0.0,60.77297940540541,37.408035500000004,41.49269826415094,91.15532857142857
WLD,0.0,63.47915875949367,28.23429263934426,15.906813975155279,0.6643394680851064
XAI,0.0,6.143474250000001,262.4099775,0.0,0.0
XRP,1.5871336,-1.1862653728813561,14.34682678504673,0.1600381666666666,11.49433292
YGG,0.0,0.496713,68.48452357142858,0.0,0.0
ZEREBRO,0.0,0.0,8.423362385964912,0.0,19.98317
ZETA,0.0,-2.772696,0.0,54.89228833333333,0.0
ZK,0.0,0.0,1.9065486249999999,0.4114,9.974127
ZRO,0.0,0.0,0.0,0.0,0.0
kBONK,0.0,43.154500282608694,23.753011346153848,83.05376987437187,106.55998658585858
kPEPE,-0.24755739130434784,-7.064131285714287,40.951040524390244,74.77778856666667,87.18766658181819
kSHIB,0.0,-3.9824881999999997,0.0,0.0,0.0
